# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_231045
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 50
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
I[A]	V[V]
5.000000e-08	3.053670e-04
1.027778e-07	3.158090e-04
1.555556e-07	3.323320e-04
2.083333e-07	3.525500e-04
2.611111e-07	3.618480e-04
3.138889e-07	3.787280e-04
3.666667e-07	3.889800e-04
4.194444e-07	4.086730e-04
4.722222e-07	4.210230e-04
5.250000e-07	4.381900e-04
5.777778e-07	4.547360e-04
6.305556e-07	4.681590e-04
6.833333e-07	4.831310e-04
7.361111e-07	5.002980e-04
7.888889e-07	5.148410e-04
8.416667e-07	5.288840e-04
8.944444e-07	5.444760e-04
9.472222e-07	5.618100e-04
1.000000e-06	5.710360e-04
