# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_223257
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 150
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
# Columns: I[A]	V[V]
5.000000e-08	2.821920e-04
1.027778e-07	2.959250e-04
1.555556e-07	3.099200e-04
2.083333e-07	3.271580e-04
2.611111e-07	3.426070e-04
3.138889e-07	3.546240e-04
3.666667e-07	3.716470e-04
4.194444e-07	3.833060e-04
4.722222e-07	4.032140e-04
5.250000e-07	4.163980e-04
5.777778e-07	4.287240e-04
6.305556e-07	4.431010e-04
6.833333e-07	4.587170e-04
7.361111e-07	4.720930e-04
7.888889e-07	4.899500e-04
8.416667e-07	4.983430e-04
8.944444e-07	5.131240e-04
9.472222e-07	5.273820e-04
1.000000e-06	5.431890e-04
