# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_220857
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 200
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
I[A]	V[V]
5.000000e-08	2.564670e-04
1.027778e-07	2.722740e-04
1.555556e-07	2.897500e-04
2.083333e-07	3.091100e-04
2.611111e-07	3.223900e-04
3.138889e-07	3.345730e-04
3.666667e-07	3.534320e-04
4.194444e-07	3.674270e-04
4.722222e-07	3.804450e-04
5.250000e-07	4.000660e-04
5.777778e-07	4.136090e-04
6.305556e-07	4.325150e-04
6.833333e-07	4.483220e-04
7.361111e-07	4.615550e-04
7.888889e-07	4.779820e-04
8.416667e-07	4.931210e-04
8.944444e-07	5.066160e-04
9.472222e-07	5.205630e-04
1.000000e-06	5.376580e-04
