# Sample: 001
# Mode: V_vs_T
# Timestamp: 20251116_210806
# Measurement config:
#   mode = v_vs_t_current
#   channel = a
#   current = 1e-05
#   t_start = 10.0
#   t_stop = 300.0
#   ramp_rate = 5.0
#   dt = 10.0
#   temp_channel = A
#   temp_loop = 1
#   voltage_limit = 1.0
#   go_to_t_start = True
time_s	T[K]	V[V]	I[A]
6.724262e-02	9.734300e+00	2.244640e-03	1.000000e-05
1.027861e+01	9.320500e+00	2.240710e-03	1.000000e-05
2.043893e+01	9.476900e+00	2.235270e-03	1.000000e-05
3.053993e+01	9.805300e+00	2.230670e-03	1.000000e-05
4.069936e+01	1.013060e+01	2.232270e-03	1.000000e-05
5.082525e+01	1.043370e+01	2.228520e-03	1.000000e-05
6.098010e+01	1.069370e+01	2.227430e-03	1.000000e-05
7.110102e+01	1.092260e+01	2.222780e-03	1.000000e-05
8.126275e+01	1.113330e+01	2.222920e-03	1.000000e-05
9.138321e+01	1.133050e+01	2.222350e-03	1.000000e-05
1.015435e+02	1.152160e+01	2.217250e-03	1.000000e-05
1.116562e+02	1.170810e+01	2.213480e-03	1.000000e-05
1.218412e+02	1.189590e+01	2.214740e-03	1.000000e-05
1.319532e+02	1.207730e+01	2.207730e-03	1.000000e-05
1.421159e+02	1.225250e+01	2.211480e-03	1.000000e-05
1.522317e+02	1.243510e+01	2.211260e-03	1.000000e-05
1.623847e+02	1.260790e+01	2.211980e-03	1.000000e-05
1.725001e+02	1.277420e+01	2.209450e-03	1.000000e-05
1.826615e+02	1.293820e+01	2.209160e-03	1.000000e-05
1.927617e+02	1.309820e+01	2.209210e-03	1.000000e-05
2.029250e+02	1.325920e+01	2.204630e-03	1.000000e-05
2.130323e+02	1.343000e+01	2.206970e-03	1.000000e-05
2.231850e+02	1.359970e+01	2.206090e-03	1.000000e-05
2.332970e+02	1.376810e+01	2.204990e-03	1.000000e-05
2.434627e+02	1.394130e+01	2.204630e-03	1.000000e-05
2.535825e+02	1.411000e+01	2.207160e-03	1.000000e-05
2.637360e+02	1.427670e+01	2.208140e-03	1.000000e-05
2.738566e+02	1.445030e+01	2.201600e-03	1.000000e-05
2.840105e+02	1.461940e+01	2.204280e-03	1.000000e-05
2.941230e+02	1.479030e+01	2.208160e-03	1.000000e-05
3.042753e+02	1.495940e+01	2.205820e-03	1.000000e-05
3.143813e+02	1.512880e+01	2.208900e-03	1.000000e-05
3.245346e+02	1.530230e+01	2.205520e-03	1.000000e-05
3.346476e+02	1.547510e+01	2.209640e-03	1.000000e-05
3.447833e+02	1.564500e+01	2.211240e-03	1.000000e-05
3.548978e+02	1.581360e+01	2.210590e-03	1.000000e-05
3.650639e+02	1.598100e+01	2.208090e-03	1.000000e-05
3.751831e+02	1.614970e+01	2.209140e-03	1.000000e-05
3.853358e+02	1.632480e+01	2.208570e-03	1.000000e-05
3.954355e+02	1.649750e+01	2.204280e-03	1.000000e-05
4.055819e+02	1.666480e+01	2.205900e-03	1.000000e-05
4.156845e+02	1.683310e+01	2.208470e-03	1.000000e-05
4.258214e+02	1.700090e+01	2.204990e-03	1.000000e-05
4.359222e+02	1.716830e+01	2.207640e-03	1.000000e-05
4.460745e+02	1.733790e+01	2.208230e-03	1.000000e-05
4.561853e+02	1.750470e+01	2.201560e-03	1.000000e-05
4.663283e+02	1.767280e+01	2.207520e-03	1.000000e-05
4.764409e+02	1.784060e+01	2.209850e-03	1.000000e-05
4.865818e+02	1.801070e+01	2.210240e-03	1.000000e-05
4.966897e+02	1.818180e+01	2.208610e-03	1.000000e-05
5.068166e+02	1.835350e+01	2.210620e-03	1.000000e-05
5.169336e+02	1.852250e+01	2.209350e-03	1.000000e-05
5.270758e+02	1.869450e+01	2.210880e-03	1.000000e-05
5.371849e+02	1.886410e+01	2.208400e-03	1.000000e-05
5.473408e+02	1.903560e+01	2.205780e-03	1.000000e-05
5.574462e+02	1.921230e+01	2.210970e-03	1.000000e-05
5.675839e+02	1.938590e+01	2.205200e-03	1.000000e-05
5.777040e+02	1.956300e+01	2.211310e-03	1.000000e-05
5.878646e+02	1.973970e+01	2.204870e-03	1.000000e-05
5.979805e+02	1.991330e+01	2.210020e-03	1.000000e-05
6.081291e+02	2.008710e+01	2.207400e-03	1.000000e-05
6.182302e+02	2.025760e+01	2.206060e-03	1.000000e-05
6.283645e+02	2.042160e+01	2.211480e-03	1.000000e-05
6.384695e+02	2.059090e+01	2.210570e-03	1.000000e-05
6.486213e+02	2.076010e+01	2.209330e-03	1.000000e-05
6.587346e+02	2.092650e+01	2.214790e-03	1.000000e-05
6.688861e+02	2.109670e+01	2.212430e-03	1.000000e-05
6.790227e+02	2.127410e+01	2.207330e-03	1.000000e-05
6.891474e+02	2.143310e+01	2.210780e-03	1.000000e-05
6.992619e+02	2.160150e+01	2.210050e-03	1.000000e-05
7.094132e+02	2.176660e+01	2.212480e-03	1.000000e-05
7.195251e+02	2.193990e+01	2.210020e-03	1.000000e-05
7.296809e+02	2.211090e+01	2.216120e-03	1.000000e-05
7.398255e+02	2.228100e+01	2.214480e-03	1.000000e-05
7.499778e+02	2.244930e+01	2.212480e-03	1.000000e-05
7.601033e+02	2.260970e+01	2.209970e-03	1.000000e-05
7.702436e+02	2.277960e+01	2.211570e-03	1.000000e-05
7.803605e+02	2.295330e+01	2.212290e-03	1.000000e-05
7.905049e+02	2.312180e+01	2.216150e-03	1.000000e-05
8.006294e+02	2.329380e+01	2.216960e-03	1.000000e-05
8.107912e+02	2.346070e+01	2.219270e-03	1.000000e-05
8.209073e+02	2.362750e+01	2.212140e-03	1.000000e-05
8.310684e+02	2.379890e+01	2.213650e-03	1.000000e-05
8.411684e+02	2.396810e+01	2.216080e-03	1.000000e-05
8.512966e+02	2.413480e+01	2.217840e-03	1.000000e-05
8.613889e+02	2.429960e+01	2.218290e-03	1.000000e-05
8.715347e+02	2.447390e+01	2.214930e-03	1.000000e-05
8.816346e+02	2.464500e+01	2.215580e-03	1.000000e-05
8.917749e+02	2.481090e+01	2.220200e-03	1.000000e-05
9.018857e+02	2.497360e+01	2.222630e-03	1.000000e-05
9.120346e+02	2.513910e+01	2.220580e-03	1.000000e-05
9.221323e+02	2.531130e+01	2.222440e-03	1.000000e-05
9.322759e+02	2.548220e+01	2.223850e-03	1.000000e-05
9.423892e+02	2.565540e+01	2.218720e-03	1.000000e-05
9.525298e+02	2.582600e+01	2.221610e-03	1.000000e-05
9.626331e+02	2.599900e+01	2.222540e-03	1.000000e-05
9.727883e+02	2.616730e+01	2.221010e-03	1.000000e-05
9.829066e+02	2.633120e+01	2.223590e-03	1.000000e-05
9.930681e+02	2.650000e+01	2.220800e-03	1.000000e-05
1.003188e+03	2.666640e+01	2.223370e-03	1.000000e-05
1.013349e+03	2.683610e+01	2.223230e-03	1.000000e-05
1.023456e+03	2.700730e+01	2.222010e-03	1.000000e-05
1.033610e+03	2.717350e+01	2.226590e-03	1.000000e-05
1.043702e+03	2.734160e+01	2.223900e-03	1.000000e-05
1.053848e+03	2.750630e+01	2.224420e-03	1.000000e-05
1.063958e+03	2.768410e+01	2.222990e-03	1.000000e-05
1.074097e+03	2.785670e+01	2.223520e-03	1.000000e-05
1.084229e+03	2.802590e+01	2.222750e-03	1.000000e-05
1.094375e+03	2.818720e+01	2.226110e-03	1.000000e-05
1.104487e+03	2.835010e+01	2.230450e-03	1.000000e-05
1.114643e+03	2.851940e+01	2.224490e-03	1.000000e-05
1.124765e+03	2.869390e+01	2.228240e-03	1.000000e-05
1.134932e+03	2.886600e+01	2.227190e-03	1.000000e-05
1.145057e+03	2.903530e+01	2.230980e-03	1.000000e-05
1.155214e+03	2.920640e+01	2.228880e-03	1.000000e-05
1.165331e+03	2.937900e+01	2.230170e-03	1.000000e-05
1.175484e+03	2.954820e+01	2.226350e-03	1.000000e-05
1.185599e+03	2.971530e+01	2.232070e-03	1.000000e-05
1.195771e+03	2.988010e+01	2.228740e-03	1.000000e-05
1.205894e+03	3.004990e+01	2.229810e-03	1.000000e-05
1.216034e+03	3.022020e+01	2.226760e-03	1.000000e-05
1.226151e+03	3.038760e+01	2.229290e-03	1.000000e-05
1.236305e+03	3.055100e+01	2.231380e-03	1.000000e-05
1.246432e+03	3.071990e+01	2.230020e-03	1.000000e-05
1.256573e+03	3.089000e+01	2.227540e-03	1.000000e-05
1.266663e+03	3.106700e+01	2.230260e-03	1.000000e-05
1.276826e+03	3.123880e+01	2.235940e-03	1.000000e-05
1.286935e+03	3.140550e+01	2.230980e-03	1.000000e-05
1.297096e+03	3.156960e+01	2.233550e-03	1.000000e-05
1.307233e+03	3.173670e+01	2.236340e-03	1.000000e-05
1.317389e+03	3.190590e+01	2.232980e-03	1.000000e-05
1.327493e+03	3.207590e+01	2.235560e-03	1.000000e-05
1.337652e+03	3.224520e+01	2.236700e-03	1.000000e-05
1.347770e+03	3.241710e+01	2.235460e-03	1.000000e-05
1.357925e+03	3.258710e+01	2.239230e-03	1.000000e-05
1.368047e+03	3.275720e+01	2.235010e-03	1.000000e-05
1.378203e+03	3.292570e+01	2.234580e-03	1.000000e-05
1.388315e+03	3.310080e+01	2.235510e-03	1.000000e-05
1.398472e+03	3.327380e+01	2.232430e-03	1.000000e-05
